"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","LIFEEXP","MEN","YR","A","2016",78.2,
"SVN","LIFEEXP","MEN","YR","A","2017",78.2,
"SVN","LIFEEXP","MEN","YR","A","2018",78.5,
"SVN","LIFEEXP","TOT","YR","A","2015",80.9,
"SVN","LIFEEXP","TOT","YR","A","2016",81.3,
"SVN","LIFEEXP","TOT","YR","A","2017",81.1,
"SVN","LIFEEXP","TOT","YR","A","2018",81.5,
"SVN","LIFEEXP","WOMEN","YR","A","2015",83.9,
"SVN","LIFEEXP","WOMEN","YR","A","2016",84.3,
"SVN","LIFEEXP","WOMEN","YR","A","2017",84,
"SVN","LIFEEXP","WOMEN","YR","A","2018",84.4,
"ZAF","LIFEEXP","MEN","YR","A","2015",59.3,
"ZAF","LIFEEXP","MEN","YR","A","2016",59.8,
"ZAF","LIFEEXP","MEN","YR","A","2017",60.2,
"ZAF","LIFEEXP","MEN","YR","A","2018",60.5,
"ZAF","LIFEEXP","TOT","YR","A","2015",62.7,
"ZAF","LIFEEXP","TOT","YR","A","2016",63.2,
"ZAF","LIFEEXP","TOT","YR","A","2017",63.6,
"ZAF","LIFEEXP","TOT","YR","A","2018",63.9,
"ZAF","LIFEEXP","WOMEN","YR","A","2015",66.1,
"ZAF","LIFEEXP","WOMEN","YR","A","2016",66.7,
"ZAF","LIFEEXP","WOMEN","YR","A","2017",67.1,
"ZAF","LIFEEXP","WOMEN","YR","A","2018",67.4,
"COL","LIFEEXP","MEN","YR","A","2015",73.7,
"COL","LIFEEXP","MEN","YR","A","2016",73.9,
"COL","LIFEEXP","MEN","YR","A","2017",74.1,
"COL","LIFEEXP","MEN","YR","A","2018",74.3,
"COL","LIFEEXP","TOT","YR","A","2015",76.5,
"COL","LIFEEXP","TOT","YR","A","2016",76.7,
"COL","LIFEEXP","TOT","YR","A","2017",76.9,
"COL","LIFEEXP","TOT","YR","A","2018",77.1,
"COL","LIFEEXP","WOMEN","YR","A","2015",79.3,
"COL","LIFEEXP","WOMEN","YR","A","2016",79.5,
"COL","LIFEEXP","WOMEN","YR","A","2017",79.7,
"COL","LIFEEXP","WOMEN","YR","A","2018",79.9,
"LVA","LIFEEXP","MEN","YR","A","2015",69.7,
"LVA","LIFEEXP","MEN","YR","A","2016",69.8,
"LVA","LIFEEXP","MEN","YR","A","2017",69.8,
"LVA","LIFEEXP","MEN","YR","A","2018",70.1,
"LVA","LIFEEXP","TOT","YR","A","2015",74.6,
"LVA","LIFEEXP","TOT","YR","A","2016",74.7,
"LVA","LIFEEXP","TOT","YR","A","2017",74.8,
"LVA","LIFEEXP","TOT","YR","A","2018",74.9,
"LVA","LIFEEXP","WOMEN","YR","A","2015",79.5,
"LVA","LIFEEXP","WOMEN","YR","A","2016",79.6,
"LVA","LIFEEXP","WOMEN","YR","A","2017",79.7,
"LVA","LIFEEXP","WOMEN","YR","A","2018",79.7,
"LTU","LIFEEXP","MEN","YR","A","2015",69.2,
"LTU","LIFEEXP","MEN","YR","A","2016",69.5,
"LTU","LIFEEXP","MEN","YR","A","2017",70.7,
"LTU","LIFEEXP","MEN","YR","A","2018",70.9,
"LTU","LIFEEXP","TOT","YR","A","2015",74.5,
"LTU","LIFEEXP","TOT","YR","A","2016",74.8,
"LTU","LIFEEXP","TOT","YR","A","2017",75.6,
"LTU","LIFEEXP","TOT","YR","A","2018",75.8,
"LTU","LIFEEXP","WOMEN","YR","A","2015",79.7,
"LTU","LIFEEXP","WOMEN","YR","A","2016",80.1,
"LTU","LIFEEXP","WOMEN","YR","A","2017",80.5,
"LTU","LIFEEXP","WOMEN","YR","A","2018",80.7,
"CRI","LIFEEXP","MEN","YR","A","2015",77.4,
"CRI","LIFEEXP","MEN","YR","A","2016",77.5,
"CRI","LIFEEXP","MEN","YR","A","2017",77.6,
"CRI","LIFEEXP","MEN","YR","A","2018",77.8,
"CRI","LIFEEXP","TOT","YR","A","2015",79.9,
"CRI","LIFEEXP","TOT","YR","A","2016",80.1,
"CRI","LIFEEXP","TOT","YR","A","2017",80.2,
"CRI","LIFEEXP","TOT","YR","A","2018",80.4,
"CRI","LIFEEXP","WOMEN","YR","A","2015",82.4,
"CRI","LIFEEXP","WOMEN","YR","A","2016",82.6,
"CRI","LIFEEXP","WOMEN","YR","A","2017",82.7,
"CRI","LIFEEXP","WOMEN","YR","A","2018",82.9,
